
Stack					Input	Action
K					eywordWhile(IdOpOpNum){IdOpNumOpIdOpId;KeywordPrintf(String,Id);IdOpOp;}	Shift K
Ke					ywordWhile(IdOpOpNum){IdOpNumOpIdOpId;KeywordPrintf(String,Id);IdOpOp;}	Shift e
Key					wordWhile(IdOpOpNum){IdOpNumOpIdOpId;KeywordPrintf(String,Id);IdOpOp;}	Shift y
Keyw					ordWhile(IdOpOpNum){IdOpNumOpIdOpId;KeywordPrintf(String,Id);IdOpOp;}	Shift w
Keywo					rdWhile(IdOpOpNum){IdOpNumOpIdOpId;KeywordPrintf(String,Id);IdOpOp;}	Shift o
Keywor					dWhile(IdOpOpNum){IdOpNumOpIdOpId;KeywordPrintf(String,Id);IdOpOp;}	Shift r
Keyword					While(IdOpOpNum){IdOpNumOpIdOpId;KeywordPrintf(String,Id);IdOpOp;}	Shift d
KeywordW					hile(IdOpOpNum){IdOpNumOpIdOpId;KeywordPrintf(String,Id);IdOpOp;}	Shift W
KeywordWh					ile(IdOpOpNum){IdOpNumOpIdOpId;KeywordPrintf(String,Id);IdOpOp;}	Shift h
KeywordWhi					le(IdOpOpNum){IdOpNumOpIdOpId;KeywordPrintf(String,Id);IdOpOp;}	Shift i
KeywordWhil					e(IdOpOpNum){IdOpNumOpIdOpId;KeywordPrintf(String,Id);IdOpOp;}	Shift l
KeywordWhile					(IdOpOpNum){IdOpNumOpIdOpId;KeywordPrintf(String,Id);IdOpOp;}	Shift e
KeywordWhile(					IdOpOpNum){IdOpNumOpIdOpId;KeywordPrintf(String,Id);IdOpOp;}	Shift (
KeywordWhile(I					dOpOpNum){IdOpNumOpIdOpId;KeywordPrintf(String,Id);IdOpOp;}	Shift I
KeywordWhile(Id					OpOpNum){IdOpNumOpIdOpId;KeywordPrintf(String,Id);IdOpOp;}	Shift d
KeywordWhile(idOrNum					OpOpNum){IdOpNumOpIdOpId;KeywordPrintf(String,Id);IdOpOp;}	Reduce idOrNum->Id
KeywordWhile(Exp					OpOpNum){IdOpNumOpIdOpId;KeywordPrintf(String,Id);IdOpOp;}	Reduce Exp->idOrNum
KeywordWhile(ExpO					pOpNum){IdOpNumOpIdOpId;KeywordPrintf(String,Id);IdOpOp;}	Shift O
KeywordWhile(ExpOp					OpNum){IdOpNumOpIdOpId;KeywordPrintf(String,Id);IdOpOp;}	Shift p
KeywordWhile(ExpOpO					pNum){IdOpNumOpIdOpId;KeywordPrintf(String,Id);IdOpOp;}	Shift O
KeywordWhile(ExpOpOp					Num){IdOpNumOpIdOpId;KeywordPrintf(String,Id);IdOpOp;}	Shift p
KeywordWhile(Exp					Num){IdOpNumOpIdOpId;KeywordPrintf(String,Id);IdOpOp;}	Reduce Exp->ExpOpOp
KeywordWhile(ExpN					um){IdOpNumOpIdOpId;KeywordPrintf(String,Id);IdOpOp;}	Shift N
KeywordWhile(ExpNu					m){IdOpNumOpIdOpId;KeywordPrintf(String,Id);IdOpOp;}	Shift u
